id,name,date
5036403,MCleizi,2019-09-04T02:54:23.188Z
8040185,Looking for team,2020-04-09T16:15:01.814Z
7833653,····,2016-11-10T11:44:10.095Z
7391049,Alpha x Hashtag,2015-09-21T14:49:04.972Z
7681992,Motoca_123,2017-06-08T19:57:03.892Z
5109000,ReckoninG Esports,2013-03-05T08:03:14.000000Z
2640025,iG.Vitality,2021-07-31T17:44:04.051Z
8588969,HYDRA,2014-08-30T02:45:03.000000Z
15,PSG.LGD,2015-08-11T23:19:06.000000Z
7514223,Longinus,2017-05-22T16:58:19.000000Z
8599942,PAREDÃO,2020-01-01T11:23:12.201Z
7666846,MOZHEMMOZHEMMOZHEM,2016-11-06T22:03:32.000000Z
8604313,DISrespect,2019-04-05T17:53:32.621Z
7625574,URSUS Gaming,2012-06-27T18:56:11.000000Z
2108395,TNC Predator,2014-04-28T17:11:29.000000Z
8360138,OB.Neon,2016-06-14T21:31:05.000000Z
6590719,MSCerberus,2011-01-10T13:55:47.000000Z
7408305,Team Plus,2021-12-05T03:12:32.111Z
7798109,M5,2021-08-09T19:07:00.830Z
8598039,Dream Maker,2015-05-13T11:10:07.000000Z
7119388,Team Spirit,2013-05-25T04:09:12.000000Z
7685008,Shottas,2015-05-02T08:16:39.000000Z
4959603,Happy BoyZ,2020-04-18T07:46:53.496Z
7684513,Neon Power,2017-11-07T14:33:57.000000Z
8262059,DALANJING GAMING,2015-10-09T21:18:17.000000Z
6382740,Royal,2013-08-08T06:35:24.000000Z
5681778,XDS,2013-07-22T12:00:35.000000Z
4652938,Neon Atomic,2017-07-23T10:48:15.000000Z
7681485,Kek,2013-12-16T06:08:00.000000Z
3335901,-DX-,2018-11-17T21:26:35.733Z
8261774,V-Gaming,2018-03-05T00:02:45.609Z
7138130,WarriorZ,2012-04-30T14:20:35.000000Z
8040800,Reech Apex,2016-09-03T13:38:48.893Z
7798674,Eternal Stars,2013-02-20T23:47:47.000000Z
7121518,Unknown Team,2014-05-09T02:42:37.000000Z
8080809,LFT,2019-09-15T22:27:19.805Z
8056042,P12,2013-01-17T23:55:08.000000Z
8104695,ahahahahahaa,2020-11-27T05:41:17.068Z
6298652,xd,2016-12-18T03:45:21.000000Z
5802745,We Are Team Eagles,2019-07-09T04:22:21.810Z
7668075,Kingpins,2013-11-27T21:59:51.000000Z
8039870,Demon slayers ,2020-08-16T07:54:16.549Z
7391077,Thunder Predator,2021-12-05T17:33:31.528Z
7217630,WOLF,2015-05-23T00:53:44.000000Z
7655066,Team ENTs,2020-11-05T08:16:46.339Z
6143582,Vampire Gaming,2013-09-08T02:13:27.000000Z
1375614,Newbee,2012-01-07T21:54:41.000000Z
7118032,Winstrike Team,2016-10-21T21:36:09.000000Z
7407260,Sparking Arrow Gaming,2012-10-20T21:58:34.000000Z
7644586,Team USIL,2017-03-20T16:42:58.000000Z
1077685,obb aaaaaaa,2016-11-16T10:13:20.096Z
7684413,Zappy 4ever,2018-10-09T10:37:00.000000Z
7391253,aaaaaaaaaaaaaaaaaaa,2011-11-24T11:15:16.000000Z
7684963,starboyz2.0,2018-03-30T20:34:17.000000Z
7101094,Wind and Rain,2018-11-16T00:01:49.509Z
4541576,Team.G_C,2015-07-31T12:16:54.000000Z
7682202,cashwin,2019-08-31T10:23:55.013Z
8144223,Ensis Academy,2019-10-11T12:52:13.916Z
7684600,Zabor,2020-02-08T21:27:31.764Z
6162501,Hashtag?.DOTA,2019-07-23T07:39:02.373Z
7681090,One True Squad,2021-02-17T04:49:06.466Z
8254400,beastcoast,2016-05-24T20:49:34.875Z
5042038,Pacific Pink,2012-11-18T12:37:06.000000Z
7738472,DeMonster,2015-06-07T10:55:46.000000Z
7711933,....................,2017-10-31T08:25:42.000000Z
7389929,UnTag Gaming,2017-01-01T22:25:34.786Z
3477208,Midas Club ,2012-10-06T10:16:31.000000Z
5085894,Hanoi Geniuses,2017-12-01T06:07:01.482Z
8082248,I DONT WANT TEAM !,2015-05-10T03:21:32.000000Z
7892748,Malvinas Gaming,2019-08-06T16:28:13.945Z
